oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,action_code,Check,action_code,B33,action_code,B66,action_code,B130,action_code,AI,flop
8.60895,0.52109,7.29118,0.47891,1.001275315,0.9226988492,X,0.99035,R5.45,0.00882,R10.9,0.00079,R21.45,0.00004,RAI,0,7h6h5d
8.57223,0.52026,7.32779,0.47974,0.9985951929,0.9257274304,X,0.97883,R5.45,0.01446,R10.9,0.00671,R21.45,0,RAI,0,7d6h5h
8.79503,0.52018,7.10495,0.47982,1.024707049,0.8974261507,X,0.9657,R5.45,0.01927,R10.9,0.01503,R21.45,0,RAI,0,7h6d5c
6.74931,0.4711,9.1504,0.5289,0.8682850557,1.048534086,X,0.20036,R5.45,0.61439,R10.9,0.18525,R21.45,0,RAI,0,7h6h6d
5.98526,0.4649,9.91473,0.5351,0.7802603593,1.122954122,X,0.07919,R5.45,0.52667,R10.9,0.39414,R21.45,0,RAI,0,7h6d6c
6.15234,0.46647,9.74751,0.53353,0.7993420466,1.107263289,X,0.18265,R5.45,0.42035,R10.9,0.39699,R21.45,0,RAI,0,7h7d2h
5.51696,0.46102,10.3827,0.53898,0.7252640364,1.16749369,X,0.0838,R5.45,0.52013,R10.9,0.39607,R21.45,0,RAI,0,7d7c2h
6.19664,0.46811,9.70352,0.53189,0.8022771233,1.105664964,X,0.21161,R5.45,0.23549,R10.9,0.5529,R21.45,0,RAI,0,7h7d3h
5.6399,0.46363,10.2601,0.53637,0.7372519909,1.159320742,X,0.16374,R5.45,0.24819,R10.9,0.58807,R21.45,0,RAI,0,7d7c3h
6.52853,0.47145,9.37158,0.52855,0.8392586517,1.074589957,X,0.23205,R5.45,0.30137,R10.9,0.46658,R21.45,0,RAI,0,7h7d4h
6.04107,0.46742,9.85934,0.53258,0.7832900697,1.12196425,X,0.15793,R5.45,0.3673,R10.9,0.47478,R21.45,0,RAI,0,7d7c4h
6.37651,0.47007,9.52366,0.52993,0.8221225701,1.089184425,X,0.17921,R5.45,0.42876,R10.9,0.39203,R21.45,0,RAI,0,7h7d5h
5.91076,0.46696,9.9894,0.53304,0.7671489301,1.135783789,X,0.11587,R5.45,0.50732,R10.9,0.37681,R21.45,0,RAI,0,7d7c5h
6.6545,0.47132,9.24579,0.52868,0.8556883391,1.059905524,X,0.19771,R5.45,0.55673,R10.9,0.24555,R21.45,0,RAI,0,7h7d6h
5.85699,0.46514,10.0432,0.53486,0.7631445825,1.138015075,X,0.0952,R5.45,0.48575,R10.9,0.41905,R21.45,0,RAI,0,7d7c6h
2.65164,0.4397,13.2476,0.5603,0.3654888517,1.432953099,X,0,R5.45,0.96601,R10.9,0.03393,R21.45,0.00005,RAI,0,7h7d7c
4.97916,0.46607,10.9209,0.53393,0.6474719783,1.23962792,X,0.12299,R5.45,0.17631,R10.9,0.7007,R21.45,0,RAI,0,8h2h2d
4.34458,0.46283,11.5561,0.53717,0.5689084227,1.30381054,X,0.10765,R5.45,0.21558,R10.9,0.67677,R21.45,0,RAI,0,8h2d2c
